GasFlowrate,y_pred
10700.0,54725.29430551686
52200.0,98214.9328348306
42100.0,-2178551.34688059
57100.0,32462.28897336476
22400.0,116937.91352414744
23900.0,-52.8166339481395
26500.0,121047.40056008927
74600.0,38515.663760935146
34300.0,12064.694976959669
39000.0,138770.4199206696
108100.0,69671.5183680451
56700.0,100031.72020475121
74600.0,38078.71479879253
34300.0,11987.84879833441
4900.0,230021.97742911635
48600.0,77481.24802043187
29300.0,151924.98311204588
20200.0,195532.18373909942
97600.0,301768.1429162546
9900.0,109801.98194425696
5100.0,-631852.3217596095
29100.0,171835.9124922289
13900.0,288970.5454975509
7800.0,208304.1395231785
8600.0,200427.54880143912
10800.0,174098.93186680553
5300.0,241768.2205649418
12400.0,182361.79306289385
16300.0,174910.24065629602
35200.0,163197.95364814918
38500.0,110804.98819112615
26800.0,166559.04764298856
29300.0,172769.92533030736
31800.0,177890.98782135948
42200.0,250627.76208968542
52200.0,174417.70053900513
41000.0,246641.8637618511
48400.0,201303.50148533174
20000.0,141733.31965184485
14900.0,106536.32188836299
16600.0,118799.03065800716
18300.0,113241.86159171017
16500.0,78935.09484743237
9300.0,80935.74841980831
8500.0,127836.90869081691
14000.0,61454.052363347364
2300.0,184897.92391894356
8300.0,140876.7535594563
10500.0,44983.08474240027
9000.0,118298.88497089354
7100.0,183410.177148567
7600.0,194684.28247070007
10400.0,35625.16036022107
21500.0,10632.83264794224
22000.0,-3302.41894264461
2600.0,486520.6124653083
23800.0,-5147.013873076416
9700.0,121955.87356418729
14100.0,27886.758440233665
24800.0,-4084.9228541716584
13200.0,35128.109155157494
11300.0,53922.8473026297
16200.0,16395.250271927696
22700.0,-20869.8937108214
50800.0,56976.785730537114
26100.0,-6355.833949810651
23500.0,401.4369919459132
23300.0,-1379.7541632912034
21300.0,-2909.369394232679
21700.0,6936.5906948920165
37100.0,21073.905153035594
16600.0,13792.129252132887
23300.0,34906.19081224277
27700.0,-7736.5829062316625
30400.0,-13199.135951255797
14300.0,4313.165211691914
19300.0,-14315.90669001505
13900.0,40569.26870277121
17200.0,9839.811116420024
18500.0,547.7330756952579
17300.0,17697.627686877895
21900.0,53673.3497223952
13400.0,28428.421306707984
18500.0,6822.124184041764
25200.0,13045.89707805439
21300.0,144.37714789131132
28300.0,-1571.7523078369995
30300.0,-3093.4503564281476
34300.0,137.17812975443667
15300.0,24670.25264234729
26400.0,14647.691646339852
15300.0,29699.76507722246
27000.0,-4516.360146103194
12000.0,166874.75407442357
32300.0,82271.7874549852
28500.0,86763.75237976635
25000.0,88470.23978969292
30600.0,84261.53184290271
33200.0,82860.52986622308
18300.0,107706.93002563386
33600.0,85470.88859455919
21900.0,95635.15249156368
16083.9691,153604.3902246981
13308.91809,258090.26335602195
14158.4235,187899.2008381204
162538.7018,-182793.51861752142
11808.1252,9392.840021657801
110152.5348,83594.15101569862
12516.04637,-39920.757129333564
78720.83466,148544.69601567913
46382.99539,320652.7972929713
11326.7388,236298.09796194016
22653.4776,235781.68764431676
20161.59506,65188.70086103998
45505.17313,156442.52232891927
121762.4421,374652.5296838458
37180.02011,248669.1488717433
21945.55643,41351.49231397448
35311.10821,193452.47022351102
38397.64453,192890.2726234521
38652.49616,193360.0945584821
156110.7775,163983.6859949174
137138.49,256365.50441226666
125755.1175,309756.0414348594
83959.45136,-50419.11854112224
70027.56263,-33185.40505243215
127001.0588,48986.11985550291
117514.9151,112875.0211969174
100553.1237,158682.130978232
124877.2953,71619.66363410631
85205.39262,196337.0800068087
181879.1083,140821.9661358111
125698.4838,2705.313847168436
48478.44206,59758.314829598225
83506.3818,64206.209023694595
97976.29062,27893.819553954163
141527.6013,233165.25127397967
245563.6972,139228.6689664598
105961.6415,63654.33017302671
70848.75119,-5529.095567219978
50885.37406,6778.493453102114
32224.57189,33362.19288190188
280251.8348,366626.23678147624
255955.98,404076.3694686395
263035.1918,376411.77869248495
231773.3927,357129.9250928181
232481.3139,409192.55733178486
333204.3386,232303.3608883486
189779.5086,485013.479784603
116778.677,409468.18562556745
101884.0155,71028.88631916899
67535.6801,71977.94789940616
212489.6199,228187.55857232437
181369.405,253128.87869298778
155770.9753,318702.43978292693
194565.0557,125969.41360658917
279204.1114,344329.37087063235
82402.02477,31875.85840842979
55472.70327,65478.88405596713
276004.3077,320944.54098149686
238031.4159,339679.70064395445
201304.4653,338127.7508205417
31601.60125,100675.76158920347
228148.8363,256018.0563988372
180123.4638,283975.1859222193
164804.0495,94204.61036066535
51083.59199,53913.33819417303
188420.2999,61817.17125097431
126604.6229,56854.80059742302
43891.11285,80200.26278179424
55019.63372,18721.50946231655
68611.72028,35376.85008123824
97296.68629,40377.50688379296
117231.7466,67423.24750261629
145435.3262,61025.74441210527
83223.21333,67641.56829782962
45193.68781,59541.444187135494
109387.98,389837.2669017599
85630.14533,591005.9840231722
110917.0897,68599.06257633274
99590.3509,152397.473156423
94889.7543,68913.34336255811
72123.00931,216222.357838572
70877.06804,151916.3485861006
115957.4885,262405.1694187552
92426.18861,269156.5955483616
82543.60901,162350.71478148253
64024.39107,197752.23047544184
73935.28752,333130.2965984278
82855.09432,138828.46786477885
78409.34934,130381.78742276588
72830.93048,105468.51100621247
50743.78982,147021.8327413142
51366.76046,244570.84972487477
58587.55644,83047.58673750826
43183.19168,181421.08494383103
110152.5348,164537.14326730903
90104.20715,171083.1763740023
105508.5719,131531.04598027575
71981.42507,213322.99523403315
70622.21642,142598.29020094997
220644.8718,65493.30213667182
176159.1052,65068.835250651966
136770.371,21403.423163993415
95597.67547,704.052434387806
196688.8193,144850.29569838813
138639.2829,271885.2080045682
98316.09278,244258.45991376461
