GasFlowrate,y_pred
10700.0,12437.472
52200.0,9714.909
42100.0,26888.932
57100.0,16744.814
22400.0,6647.862
23900.0,6134.346
26500.0,15978.159
74600.0,17625.088
34300.0,6038.5415
39000.0,5353.8696
108100.0,20773.314
56700.0,9487.253
74600.0,17649.744
34300.0,6170.971
4900.0,163828.1
48600.0,138442.58
29300.0,25948.197
20200.0,160871.52
97600.0,283803.44
9900.0,211846.47
5100.0,215087.22
29100.0,215957.11
13900.0,216792.84
7800.0,202310.12
8600.0,203095.83
10800.0,201649.58
5300.0,206727.83
12400.0,176778.19
16300.0,173022.5
35200.0,202774.11
38500.0,162403.81
26800.0,210283.83
29300.0,212802.17
31800.0,203402.8
42200.0,220743.6
52200.0,220976.28
41000.0,223307.48
48400.0,206787.72
20000.0,197346.69
14900.0,197818.86
16600.0,201484.5
18300.0,197114.11
16500.0,16770.12
9300.0,126186.8
8500.0,164399.03
14000.0,100308.38
2300.0,183047.67
8300.0,165662.58
10500.0,2616.237
9000.0,159161.86
7100.0,110226.36
7600.0,169912.33
10400.0,3156.6667
21500.0,3179.323
22000.0,3921.0027
2600.0,184797.02
23800.0,4095.2527
9700.0,160658.6
14100.0,2397.9714
24800.0,3980.4949
13200.0,2283.4011
11300.0,15303.019
16200.0,2937.9402
22700.0,4766.6665
50800.0,5945.6978
26100.0,4519.7837
23500.0,3611.5027
23300.0,3777.7683
21300.0,3806.784
21700.0,3317.487
37100.0,4692.3384
16600.0,3046.8152
23300.0,3186.1746
27700.0,4844.612
30400.0,5490.612
14300.0,2905.823
19300.0,3910.7683
13900.0,2497.7136
17200.0,3164.8777
18500.0,3430.0027
17300.0,2879.1902
21900.0,2899.0261
13400.0,2342.8933
18500.0,3352.4636
25200.0,3303.3855
21300.0,3634.6667
28300.0,4407.362
30300.0,4885.987
34300.0,6314.0415
15300.0,2569.6667
26400.0,3273.3699
15300.0,2411.698
27000.0,4471.565
12000.0,170997.52
32300.0,145820.05
28500.0,35545.62
25000.0,11943.058
30600.0,155272.17
33200.0,150166.84
18300.0,3534.7996
33600.0,6565.8774
21900.0,5938.307
16083.9691,11336.87
13308.91809,234769.9
14158.4235,218636.38
162538.7018,179165.16
11808.1252,7393.643
110152.5348,197299.34
12516.04637,8758.144
78720.83466,235886.53
46382.99539,278185.25
11326.7388,228420.67
22653.4776,216527.6
20161.59506,12255.3
45505.17313,25301.947
121762.4421,342927.9
37180.02011,228660.1
21945.55643,19348.932
35311.10821,238383.0
38397.64453,241737.61
38652.49616,237885.42
156110.7775,170346.73
137138.49,342108.16
125755.1175,352125.78
83959.45136,10204.487
70027.56263,8956.3545
127001.0588,28998.338
117514.9151,58612.91
100553.1237,207335.69
124877.2953,27275.416
85205.39262,220755.45
181879.1083,105288.01
125698.4838,31707.658
48478.44206,8384.151
83506.3818,11254.894
97976.29062,27672.291
141527.6013,298848.06
245563.6972,176867.94
105961.6415,29792.69
70848.75119,10756.9795
50885.37406,8676.706
32224.57189,13844.956
280251.8348,343015.5
255955.98,379947.2
263035.1918,361795.75
231773.3927,402533.66
232481.3139,386701.47
333204.3386,312523.22
189779.5086,404675.6
116778.677,355394.4
101884.0155,17419.22
67535.6801,9535.933
212489.6199,251231.78
181369.405,324762.62
155770.9753,336483.53
194565.0557,133013.97
279204.1114,323733.7
82402.02477,15521.159
55472.70327,10260.276
276004.3077,289754.88
238031.4159,352212.44
201304.4653,375960.5
31601.60125,13280.534
228148.8363,362676.53
180123.4638,366556.6
164804.0495,102268.88
51083.59199,9683.8545
188420.2999,163861.7
126604.6229,76798.14
43891.11285,9384.261
55019.63372,12076.69
68611.72028,14570.05
97296.68629,22500.143
117231.7466,64246.11
145435.3262,130495.9
83223.21333,14150.519
45193.68781,15354.761
109387.98,359974.4
85630.14533,352552.6
110917.0897,12789.089
99590.3509,116777.96
94889.7543,35148.176
72123.00931,245876.84
70877.06804,238723.64
115957.4885,250250.28
92426.18861,263240.97
82543.60901,229797.73
64024.39107,254798.58
73935.28752,287438.38
82855.09432,9021.112
78409.34934,15230.12
72830.93048,11997.026
50743.78982,191766.84
51366.76046,278890.12
58587.55644,179984.52
43183.19168,206518.08
110152.5348,36639.3
90104.20715,167815.08
105508.5719,23310.846
71981.42507,241580.89
70622.21642,143836.9
220644.8718,67126.76
176159.1052,36578.348
136770.371,24859.322
95597.67547,16876.744
196688.8193,206817.83
138639.2829,241883.42
98316.09278,235183.39
