Droplet-Film model,PySINDY model,XGBoost model,Liquid film model,Liquid droplet model,,Qcr,Well status,Qlattice model,,TabPFN model,Test flow rate
222731.42543781872,174417.70053900513,220300.19,114433.15882652439,4789.470514497306,,222305.81321183944,Loaded,181424.79287154193,,221027.31,52200
1507748.6022953184,246641.8637618511,226691.94,93308.76624152008,16141.278139838962,,271434.709417388,Loaded,181515.0954252194,,223356.58,41000
172689.47280538574,201303.50148533174,172645.44,86139.70754944225,34253.83272569074,,172991.2426663354,Loaded,182288.46515116407,,206969.23,48400
227248.6939,141733.31965184485,226097.77,30435.75505567341,34981.92766044679,,227238.0785997813,Loaded,99750.07043459405,,197341.92,20000
152419.67681753924,106536.32188836299,152504.67,19890.70251696978,14050.584579022378,,152437.85642172207,Loaded,99658.60022903669,,197809.39,14900
239104.50013571026,118799.03065800716,237396.17,23057.31494515041,31342.296515344176,,239085.371977135,Loaded,99504.37528601979,,201487.39,16600
190970.29559451345,113241.86159171017,202854.3,23241.791156468604,2511.225666389874,,190987.60977388787,Loaded,99594.11177826872,,197131.56,18300
5706.661631777084,78935.09484743237,3549.073,15027.358122123076,34141.027173827075,,2110.543853497251,Unloaded,29214.871798202177,,16142.05,16500
139434.18904945787,80935.74841980831,139241.53,6306.942296768175,14796.40063157306,,139441.99365179948,Loaded,31063.873676187824,,126256.03,9300
172607.96072608113,127836.90869081691,171572.7,6346.441314123203,17219.613793550772,,172611.4130992668,Loaded,30829.493205101884,,164402.95,8500
192299.71041989987,61454.052363347364,183581.8,10344.02330913257,21575.532674274848,,192302.5778171839,Loaded,30412.816672473593,,100009.36,14000
79981.88232,184897.92391894356,180249.34,1708.9151098594396,10819.421610113111,,181433.32346441995,Loaded,31454.507847009387,,183081.3,2300
177015.21424806686,140876.7535594563,171052.5,6341.154917611471,17761.21319,,177018.2827414939,Loaded,30777.408638523353,,165659.3,8300
2466.6186751075884,44983.08474240027,2497.573,6493.464547520573,12929.807300561522,,1226.25979346307,Unloaded,31246.16973773019,,2615.9246,10500
235251.53678351204,118298.88497089354,140457.36,7481.022499475849,20482.279165739255,,235255.252092478,Loaded,30516.98580563067,,159153.1,9000
130564.56111828059,183410.1771,174887.72,4780.244184899988,12664.64233631276,,130567.32679321645,Loaded,31272.211942501977,,110847.766,7100
195322.87605575268,194684.28247070007,190415.25,5333.5219994892805,15332.86346065456,,195319.3332768857,Loaded,31011.789109609294,,169931.2,7600
2188.9663835668807,35625.16036022107,3556.8855,5762.6703264047155,10819.421610113111,,1881.3859657248024,Unloaded,31454.507847009387,,3157.1902,10400
262614.64405269787,10632.83264794224,3757.5417,14129.763890512033,20482.279165739255,,2678.0397782072505,Unloaded,30516.98580563067,,3184.862,21500
10743.911380965807,-3302.418943,11618.706,13038.615730573154,16139.72248031749,,10744.270461118036,Unloaded,30933.66233825896,,3923.612,22000
100212.10420676798,486520.6124653083,180889.67,2141.5076635708915,14528.779316206379,,74534.0320902691,Loaded,31089.916037994582,,184809.17,2600
6563.200005415071,-5147.013873,5717.19,13589.719168170452,16139.72248031749,,6088.285079324853,Unloaded,30933.66233825896,,4089.862,23800
132796.00200440327,121955.87356418729,132611.1,7324.159223,20209.253928226597,,132810.47925064596,Loaded,30543.028167437413,,160654.39,9700
