GasFlowrate,y_pred
10700.0,100642.49001092496
52200.0,115531.43819459283
42100.0,118687.78063675079
57100.0,114214.71021061385
22400.0,106459.8190736898
23900.0,101699.05140031439
26500.0,106612.29244933298
74600.0,115869.94680095969
34300.0,103469.90117691018
39000.0,146307.5983231872
108100.0,158638.95695334743
56700.0,140595.48473154657
74600.0,115869.94680095969
34300.0,103469.90117691018
4900.0,125895.74385086294
48600.0,125429.45425200224
29300.0,117485.66663319984
20200.0,271418.7416845212
97600.0,268766.8722017618
9900.0,199183.21487395235
5100.0,181231.19213965267
29100.0,181545.42282360728
13900.0,181145.39976748114
7800.0,99957.45261326982
8600.0,105490.81106297391
10800.0,104506.58791805246
5300.0,105289.48823515915
12400.0,105458.1730254501
16300.0,105338.74272587564
35200.0,138081.61291590793
38500.0,139000.71254727876
26800.0,138056.72466051223
29300.0,137920.29764118948
31800.0,138209.47671991988
42200.0,181696.2794185842
52200.0,181424.79287154193
41000.0,181515.0954252194
48400.0,182288.46515116407
20000.0,99750.07043459405
14900.0,99658.60022903669
16600.0,99504.37528601979
18300.0,99594.11177826872
16500.0,29214.871798202177
9300.0,31063.873676187824
8500.0,30829.493205101884
14000.0,30412.816672473593
2300.0,31454.507847009387
8300.0,30777.408638523353
10500.0,31246.16973773019
9000.0,30516.98580563067
7100.0,31272.211942501977
7600.0,31011.789109609294
10400.0,31454.507847009387
21500.0,30516.98580563067
22000.0,30933.66233825896
2600.0,31089.916037994582
23800.0,30933.66233825896
9700.0,30543.028167437413
14100.0,31063.873676187824
24800.0,30881.577771680444
13200.0,30985.74690483749
11300.0,30933.66233825896
16200.0,31011.789109609294
22700.0,31532.634775394647
50800.0,30490.943600858853
26100.0,30933.66233825896
23500.0,30777.408638523353
23300.0,30777.408638523353
21300.0,30985.74690483749
21700.0,30595.112734015944
37100.0,30412.816672473593
16600.0,31011.789109609294
23300.0,28511.730227909415
27700.0,31037.831471416037
30400.0,31428.4656422376
14300.0,31428.4656422376
19300.0,31480.55020881613
13900.0,30881.577771680444
17200.0,31037.831471416037
18500.0,31142.0006045731
17300.0,30881.577771680444
21900.0,28433.60345655908
13400.0,31115.95824276637
18500.0,31011.789109609294
25200.0,29735.71746398756
21300.0,30959.704543030763
28300.0,30725.324071944822
30300.0,30907.619976452217
34300.0,31428.4656422376
15300.0,31037.831471416037
26400.0,29579.463764251937
15300.0,31011.789109609294
27000.0,30855.53540987367
12000.0,51981.39398021228
32300.0,51737.112234157044
28500.0,51457.93297556172
25000.0,51021.715436614366
30600.0,51876.70175823904
33200.0,51737.112234157044
