Well no,Dia,Dev(deg),LiquidFlowrate,Gasflowrate,Area (m2),z,GasDens,Condesnate Presence,Water presence,LiquidDens,GasVis,LiqVis,g (m/s2),Test Vg,P/T,Test status,Vsg,Vsl,Rel,Reg,film thickness,"d(0,90)","d(15,90)","d(30,90)","d(45,90)","d(60,90)","d(90,90)","d(120,90)","d(150,90)","d(180,90)","d(210,90)","d(270,90)","d(360,90)",friction_factor,critical_film_thickness,Qcr,ΔQ
11,0.073025,30,0.16,108100.0,0.004188254,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,4.2,0.024962472,Unloaded,298.72815736581407,0.0004421508342139,2.214961236257401,34903397.90662172,7.327846188299233e-05,3.663923094149616e-05,3.788768246123165e-05,4.1547957112531815e-05,4.737061322680042e-05,5.4958846412244246e-05,7.327846188299233e-05,9.15980773537404e-05,0.0001050089666534,0.0001099176928244,0.0001050089666534,7.327846188299233e-05,3.663923094149616e-05,0.0072514415360582,0.0001099176928244,42756.28433121908,-65343.71566878092
12,0.073025,32,0.1,56700.0,0.004188254,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,5.2,0.010575256,Unloaded,156.68720187457592,0.0002763442713837,1.3843507726608753,18307332.66702545,0.0001068555407763,4.986591902896179e-05,5.180779330010248e-05,5.750108059104527e-05,6.655779278151449e-05,7.836072990265426e-05,0.0001068555407763,0.00013535035165,0.0001562100009616,0.0001638451625237,0.0001562100009616,0.0001068555407763,4.986591902896179e-05,0.0083612459561769,0.0001638451625237,6187.330251569481,-50512.66974843052
13,0.060325,25,0.2,74600.0,0.002858147,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.52,0.030120059,Unloaded,302.09097012854835,0.0008098953622749,3.3515859282255254,29157820.436807487,8.051983412359659e-05,4.696990323876467e-05,4.811308941172418e-05,5.146474168212002e-05,5.679645048659196e-05,6.374486868118064e-05,8.051983412359659e-05,9.729479956601254e-05,0.000109574926565,0.0001140697650084,0.000109574926565,8.051983412359659e-05,4.696990323876467e-05,0.0078305827426133,0.0001140697650084,7518.861985919334,-67081.13801408067
14,0.060325,22,0.51,34300.0,0.002858147,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.6,0.013541017,Unloaded,138.89705463015025,0.002065233173801,8.54654411697509,13406343.7129021,0.0001230596147539,7.793775601084753e-05,7.947524606382083e-05,8.398293881645295e-05,9.115364245696652e-05,0.0001004986853824,0.0001230596147539,0.0001456205441255,0.0001621362906914,0.000168181473497,0.0001621362906914,0.0001230596147539,7.793775601084753e-05,0.00917984379321,0.000168181473497,4351.665077556313,-29948.334922443686
15,0.060325,40,1.23,4900.0,0.002858147,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,0.16,0.043524696,Loaded,19.84243637573575,0.0049808564779908,20.612253458586984,1915191.9589860148,0.0003665850378401,0.0001221950126133,0.0001305224007861,0.0001549370675622,0.0001937751937479,0.0002443900252267,0.0003665850378401,0.0004887800504535,0.000578233008118,0.0006109750630668,0.000578233008118,0.0003665850378401,0.0001221950126133,0.0203234032693685,0.0006109750630668,122599.95278353173,117699.95278353173
16,0.060325,24,0.25,48600.0,0.002858147,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,1.61,0.04290126,Loaded,196.80457303280767,0.0010123692028436,4.189482410281907,18995577.389126595,0.000102339461979,6.14036771874007e-05,6.279853022938301e-05,6.68880324256225e-05,7.339349095966734e-05,8.187156958320095e-05,0.000102339461979,0.0001228073543748,0.0001377908915323,0.0001432752467706,0.0001377908915323,0.000102339461979,6.14036771874007e-05,0.0085583659313212,0.0001432752467706,156177.44742784748,107577.44742784748
17,0.060325,28,0.16,29300.0,0.002858147,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,1.29,0.0322803,Loaded,118.64967057327704,0.0006479162898199,2.6812687425804205,11452066.2037327,0.0001377804693542,7.348291698891977e-05,7.56738029574029e-05,8.209715560471039e-05,9.23152340630204e-05,0.0001056316931715,0.0001377804693542,0.0001699292455368,0.0001934637831037,0.0002020780217195,0.0001934637831037,0.0001377804693542,7.348291698891977e-05,0.0100249115756483,0.0002020780217195,173786.63179751034,144486.63179751034
18,0.0889,50,0.51,20200.0,0.006207167,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,0.23,0.057474384,Loaded,37.66529883922891,0.0009509555647528,5.799440549867598,5357512.10689192,0.0002091902974227,3.486504957045597e-05,4.0805038347975775e-05,5.822020426164283e-05,8.592373253436312e-05,0.0001220276734965,0.0002091902974227,0.0002963529213488,0.0003601603905838,0.000383515545275,0.0003601603905838,0.0002091902974227,3.486504957045597e-05,0.0114846531447085,0.000383515545275,143483.28472267702,123283.28472267702
19,0.0889,40,0.57,97600.0,0.006207167,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,1.14,0.056026792,Loaded,181.98679043112585,0.0010628326900178,6.481727673381433,25885801.07092334,8.504314808685535e-05,2.8347716028951783e-05,3.027956602950912e-05,3.594346364617621e-05,4.495342361641056e-05,5.669543205790357e-05,8.504314808685535e-05,0.0001133908641158,0.0001341428325275,0.0001417385801447,0.0001341428325275,8.504314808685535e-05,2.8347716028951783e-05,0.0073856563889859,0.0001417385801447,316628.23617595545,219028.23617595545
20,0.0889,42,0.57,9900.0,0.006207167,1.01813,40.0,0,1,1029.0,2.5e-05,0.015,9.81,0.36,0.018042741,Loaded,18.459725668731,0.0010628326900178,6.481727673381433,2625711.3791202977,0.0003134105874578,9.402317623734827e-05,0.0001014986209972,0.0001234155160703,0.0001582802612768,0.0002037168818475,0.0003134105874578,0.000423104293068,0.0005034056588452,0.0005327979986783,0.0005034056588452,0.0003134105874578,9.402317623734827e-05,0.0140422585433576,0.0005327979986783,200693.03283521067,190793.03283521067
21,0.0889,45,0.03,5100.0,0.006207167,1.02835,40.0,0,1,1029.0,2.5e-05,0.015,9.81,0.41,0.008243162,Loaded,9.509555647528092,5.593856263251818e-05,0.3411435617569175,1352639.1953043956,0.0004851609033634,0.0001212902258408,0.000133688818515,0.0001700396529366,0.0002278654798122,0.0003032255646021,0.0004851609033634,0.0006670962421247,0.0008002821537902,0.000849031580886,0.0008002821537902,0.0004851609033634,0.0001212902258408,0.0195034573383997,0.000849031580886,170313.89614963782,165213.89614963782
22,0.0889,50,0.22,29100.0,0.006207167,1.0545,40.0,0,1,1029.0,2.5e-05,0.015,9.81,2.35,0.008414693,Loaded,54.26040575354264,0.0004102161259718,2.5017194528840614,7718000.114383904,0.0001727729561742,2.879549269571664e-05,3.370140579674521e-05,4.808481522940057e-05,7.096551541055517e-05,0.000100784224435,0.0001727729561742,0.0002447616879135,0.0002974610971191,0.0003167504196528,0.0002974610971191,0.0001727729561742,2.879549269571664e-05,0.0103491135213317,0.0003167504196528,210593.16704648314,181493.16704648314
