Well no,Dia,Dev(deg),LiquidFlowrate,Gasflowrate,Area (m2),z,GasDens,Condesnate Presence,Water presence,LiquidDens,GasVis,LiqVis,g (m/s2),Test Vg,P/T,Test status,Vsg,Vsl,Rel,Reg,film thickness,"d(0,90)","d(15,90)","d(30,90)","d(45,90)","d(60,90)","d(90,90)","d(120,90)","d(150,90)","d(180,90)","d(210,90)","d(270,90)","d(360,90)",friction_factor,critical_film_thickness
11,0.073025,30,0.16,108100.0,0.004188254,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,4.2,0.024962472,Unloaded,298.72815736581407,0.0004421508342139709,2.214961236257401,34903397.90662172,7.327846188299233e-05,3.6639230941496164e-05,3.788768246123165e-05,4.1547957112531815e-05,4.737061322680042e-05,5.4958846412244246e-05,7.327846188299233e-05,9.159807735374041e-05,0.00010500896665345283,0.00010991769282448849,0.00010500896665345285,7.327846188299233e-05,3.6639230941496164e-05,0.007251441536058241,0.00010991769282448849
12,0.073025,32,0.1,56700.0,0.004188254,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,5.2,0.010575256,Unloaded,156.68720187457592,0.00027634427138373177,1.3843507726608753,18307332.66702545,0.0001068555407763467,4.986591902896179e-05,5.1807793300102475e-05,5.750108059104527e-05,6.655779278151449e-05,7.836072990265426e-05,0.0001068555407763467,0.00013535035165003915,0.00015621000096164813,0.0001638451625237316,0.00015621000096164816,0.0001068555407763467,4.986591902896179e-05,0.008361245956176907,0.0001638451625237316
13,0.060325,25,0.2,74600.0,0.002858147,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.52,0.030120059,Unloaded,302.09097012854835,0.0008098953622749285,3.3515859282255254,29157820.436807487,8.051983412359659e-05,4.696990323876467e-05,4.8113089411724184e-05,5.146474168212002e-05,5.6796450486591955e-05,6.374486868118064e-05,8.051983412359659e-05,9.729479956601254e-05,0.00010957492656507315,0.00011406976500842851,0.00010957492656507315,8.051983412359659e-05,4.696990323876467e-05,0.007830582742613345,0.00011406976500842851
14,0.060325,22,0.51,34300.0,0.002858147,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.6,0.013541017,Unloaded,138.89705463015025,0.002065233173801068,8.54654411697509,13406343.7129021,0.0001230596147539698,7.793775601084753e-05,7.947524606382083e-05,8.398293881645295e-05,9.115364245696653e-05,0.00010049868538240868,0.0001230596147539698,0.00014562054412553093,0.00016213629069148668,0.00016818147349709206,0.00016213629069148668,0.0001230596147539698,7.793775601084753e-05,0.00917984379321005,0.00016818147349709206
15,0.060325,40,1.23,4900.0,0.002858147,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,0.16,0.043524696,Loaded,19.84243637573575,0.004980856477990811,20.612253458586984,1915191.9589860148,0.0003665850378401307,0.00012219501261337691,0.0001305224007861723,0.0001549370675622421,0.0001937751937479417,0.00024439002522675383,0.0003665850378401307,0.0004887800504535075,0.0005782330081180193,0.0006109750630668844,0.0005782330081180193,0.0003665850378401307,0.00012219501261337691,0.020323403269368594,0.0006109750630668844
16,0.060325,24,0.25,48600.0,0.002858147,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,1.61,0.04290126,Loaded,196.80457303280767,0.0010123692028436606,4.189482410281907,18995577.389126595,0.00010233946197900118,6.14036771874007e-05,6.279853022938301e-05,6.68880324256225e-05,7.339349095966734e-05,8.187156958320095e-05,0.00010233946197900118,0.0001228073543748014,0.00013779089153237984,0.00014327524677060165,0.00013779089153237987,0.00010233946197900118,6.14036771874007e-05,0.008558365931321235,0.00014327524677060165
17,0.060325,28,0.16,29300.0,0.002858147,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,1.29,0.0322803,Loaded,118.64967057327704,0.0006479162898199428,2.6812687425804205,11452066.2037327,0.00013778046935422457,7.348291698891977e-05,7.56738029574029e-05,8.209715560471039e-05,9.23152340630204e-05,0.00010563169317157218,0.00013778046935422457,0.00016992924553687697,0.00019346378310373876,0.00020207802171952937,0.00019346378310373876,0.00013778046935422457,7.348291698891977e-05,0.01002491157564839,0.00020207802171952937
18,0.0889,50,0.51,20200.0,0.006207167,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,0.23,0.057474384,Loaded,37.66529883922891,0.0009509555647528092,5.799440549867598,5357512.10689192,0.00020919029742273585,3.486504957045597e-05,4.0805038347975775e-05,5.822020426164283e-05,8.592373253436312e-05,0.00012202767349659593,0.00020919029742273585,0.00029635292134887577,0.0003601603905838289,0.00038351554527501575,0.0003601603905838289,0.00020919029742273585,3.486504957045597e-05,0.011484653144708557,0.00038351554527501575
19,0.0889,40,0.57,97600.0,0.006207167,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,1.14,0.056026792,Loaded,181.98679043112583,0.0010628326900178455,6.481727673381433,25885801.07092334,8.504314808685535e-05,2.8347716028951786e-05,3.027956602950912e-05,3.594346364617621e-05,4.495342361641056e-05,5.669543205790357e-05,8.504314808685535e-05,0.00011339086411580713,0.0001341428325275345,0.0001417385801447589,0.0001341428325275345,8.504314808685535e-05,2.8347716028951786e-05,0.007385656388985933,0.0001417385801447589
20,0.0889,42,0.57,9900.0,0.006207167,1.01813,40.0,0,1,1029.0,2.5e-05,0.015,9.81,0.36,0.018042741,Loaded,18.459725668731,0.0010628326900178455,6.481727673381433,2625711.3791202977,0.0003134105874578276,9.402317623734829e-05,0.00010149862099726649,0.00012341551607038934,0.00015828026127686498,0.00020371688184758798,0.0003134105874578276,0.0004231042930680672,0.0005034056588452658,0.0005327979986783068,0.0005034056588452658,0.0003134105874578276,9.402317623734829e-05,0.014042258543357642,0.0005327979986783068
